tanggal,stasiun,pm10,so2,co,o3,no2,max,critical,categori
11/27/2012,DKI5 (Kebon Jeruk),84,,42,47,16,84,PM10,SEDANG
11/28/2012,DKI5 (Kebon Jeruk),62,,23,49,8,62,PM10,SEDANG
11/29/2012,DKI5 (Kebon Jeruk),69,,19,123,10,123,O3,TIDAK SEHAT
11/30/2012,DKI5 (Kebon Jeruk),72,1,25,113,14,113,O3,TIDAK SEHAT
12/1/2012,DKI5 (Kebon Jeruk),54,,25,72,10,72,O3,SEDANG
12/2/2012,DKI5 (Kebon Jeruk),63,,19,63,8,63,PM10,SEDANG
12/3/2012,DKI5 (Kebon Jeruk),38,0,16,21,8,38,PM10,BAIK
12/4/2012,DKI5 (Kebon Jeruk),34,0,8,24,6,34,PM10,BAIK
12/5/2012,DKI5 (Kebon Jeruk),48,0,18,197,7,197,O3,TIDAK SEHAT
12/6/2012,DKI5 (Kebon Jeruk),55,2,20,73,11,73,O3,SEDANG
12/7/2012,DKI5 (Kebon Jeruk),73,2,40,66,14,73,PM10,SEDANG
12/8/2012,DKI5 (Kebon Jeruk),46,2,17,75,11,75,O3,SEDANG
12/9/2012,DKI5 (Kebon Jeruk),56,4,23,96,13,96,O3,SEDANG
12/10/2012,DKI5 (Kebon Jeruk),,1,12,79,7,79,O3,SEDANG
12/11/2012,DKI5 (Kebon Jeruk),,2,27,50,15,50,O3,BAIK
12/12/2012,DKI5 (Kebon Jeruk),,4,33,39,15,39,O3,BAIK
12/13/2012,DKI5 (Kebon Jeruk),,3,20,33,12,33,O3,BAIK
12/14/2012,DKI5 (Kebon Jeruk),,2,26,73,13,73,O3,SEDANG
12/15/2012,DKI5 (Kebon Jeruk),,2,44,32,13,44,CO,BAIK
12/16/2012,DKI5 (Kebon Jeruk),,2,20,31,12,31,O3,BAIK
12/17/2012,DKI5 (Kebon Jeruk),,6,14,65,7,65,O3,SEDANG
12/18/2012,DKI5 (Kebon Jeruk),,2,26,33,15,33,O3,BAIK
12/19/2012,DKI5 (Kebon Jeruk),,3,51,30,8,51,CO,SEDANG
12/20/2012,DKI5 (Kebon Jeruk),,3,17,37,12,37,O3,BAIK
12/21/2012,DKI5 (Kebon Jeruk),,2,26,40,14,40,O3,BAIK
12/22/2012,DKI5 (Kebon Jeruk),,1,20,28,6,28,O3,BAIK
12/23/2012,DKI5 (Kebon Jeruk),,1,33,29,8,33,CO,BAIK
12/24/2012,DKI5 (Kebon Jeruk),,3,12,45,5,45,O3,BAIK
12/25/2012,DKI5 (Kebon Jeruk),,2,7,33,5,33,O3,BAIK
12/26/2012,DKI5 (Kebon Jeruk),,,8,55,5,55,O3,SEDANG
12/27/2012,DKI5 (Kebon Jeruk),,1,8,33,4,33,O3,BAIK
12/28/2012,DKI5 (Kebon Jeruk),,1,7,30,4,30,O3,BAIK
12/29/2012,DKI5 (Kebon Jeruk),,2,9,26,11,26,O3,BAIK
12/30/2012,DKI5 (Kebon Jeruk),,1,8,25,4,25,O3,BAIK
12/31/2012,DKI5 (Kebon Jeruk),,1,6,21,3,21,O3,BAIK
1/1/2013,DKI5 (Kebon Jeruk),,1,13,38,7,38,O3,BAIK
1/2/2013,DKI5 (Kebon Jeruk),,2,12,30,5,30,O3,BAIK
1/3/2013,DKI5 (Kebon Jeruk),61,2,34,27,8,61,PM10,SEDANG
1/4/2013,DKI5 (Kebon Jeruk),28,2,7,26,4,28,PM10,BAIK
1/5/2013,DKI5 (Kebon Jeruk),26,4,6,31,6,31,O3,BAIK
1/6/2013,DKI5 (Kebon Jeruk),26,2,11,21,7,26,PM10,BAIK
1/7/2013,DKI5 (Kebon Jeruk),23,2,7,34,4,34,O3,BAIK
1/8/2013,DKI5 (Kebon Jeruk),33,2,11,13,5,33,PM10,BAIK
1/9/2013,DKI5 (Kebon Jeruk),12,0,6,16,4,16,O3,BAIK
1/10/2013,DKI5 (Kebon Jeruk),16,2,6,18,4,18,O3,BAIK
1/11/2013,DKI5 (Kebon Jeruk),22,4,7,20,5,22,PM10,BAIK
1/12/2013,DKI5 (Kebon Jeruk),35,5,8,29,5,35,PM10,BAIK
1/13/2013,DKI5 (Kebon Jeruk),37,1,26,32,10,37,PM10,BAIK
1/14/2013,DKI5 (Kebon Jeruk),49,3,26,30,7,49,PM10,BAIK
1/15/2013,DKI5 (Kebon Jeruk),36,1,17,47,9,47,O3,BAIK
1/16/2013,DKI5 (Kebon Jeruk),34,1,31,41,13,41,O3,BAIK
1/17/2013,DKI5 (Kebon Jeruk),54,1,30,33,14,54,PM10,SEDANG
1/18/2013,DKI5 (Kebon Jeruk),49,1,35,43,17,49,PM10,BAIK
1/19/2013,DKI5 (Kebon Jeruk),84,2,62,42,14,84,PM10,SEDANG
1/20/2013,DKI5 (Kebon Jeruk),35,2,12,42,6,42,O3,BAIK
1/21/2013,DKI5 (Kebon Jeruk),54,4,16,41,10,54,PM10,SEDANG
1/22/2013,DKI5 (Kebon Jeruk),53,6,16,35,11,53,PM10,SEDANG
1/23/2013,DKI5 (Kebon Jeruk),48,4,37,28,12,48,PM10,BAIK
1/24/2013,DKI5 (Kebon Jeruk),23,2,8,23,7,23,PM10,BAIK
1/25/2013,DKI5 (Kebon Jeruk),48,2,15,29,8,48,PM10,BAIK
1/26/2013,DKI5 (Kebon Jeruk),57,5,39,38,11,57,PM10,SEDANG
1/27/2013,DKI5 (Kebon Jeruk),49,3,16,25,9,49,PM10,BAIK
1/28/2013,DKI5 (Kebon Jeruk),28,3,10,23,8,28,PM10,BAIK
1/29/2013,DKI5 (Kebon Jeruk),65,6,27,28,11,65,PM10,SEDANG
1/30/2013,DKI5 (Kebon Jeruk),52,4,14,32,11,52,PM10,SEDANG
1/31/2013,DKI5 (Kebon Jeruk),67,4,26,83,10,83,O3,SEDANG
2/1/2013,DKI5 (Kebon Jeruk),69,5,29,47,13,69,PM10,SEDANG
2/2/2013,DKI5 (Kebon Jeruk),51,3,12,36,8,51,PM10,SEDANG
2/3/2013,DKI5 (Kebon Jeruk),64,3,57,38,17,64,PM10,SEDANG
2/4/2013,DKI5 (Kebon Jeruk),87,4,52,117,24,117,O3,TIDAK SEHAT
2/5/2013,DKI5 (Kebon Jeruk),54,2,28,106,15,106,O3,TIDAK SEHAT
2/6/2013,DKI5 (Kebon Jeruk),38,1,14,33,6,38,PM10,BAIK
2/7/2013,DKI5 (Kebon Jeruk),45,1,41,92,12,92,O3,SEDANG
2/8/2013,DKI5 (Kebon Jeruk),65,3,25,107,14,107,O3,TIDAK SEHAT
2/9/2013,DKI5 (Kebon Jeruk),66,3,17,63,9,66,PM10,SEDANG
2/10/2013,DKI5 (Kebon Jeruk),53,2,35,165,16,165,O3,TIDAK SEHAT
2/11/2013,DKI5 (Kebon Jeruk),63,2,39,74,18,74,O3,SEDANG
2/12/2013,DKI5 (Kebon Jeruk),64,2,23,85,11,85,O3,SEDANG
2/13/2013,DKI5 (Kebon Jeruk),33,4,18,90,12,90,O3,SEDANG
2/14/2013,DKI5 (Kebon Jeruk),54,5,22,44,15,54,PM10,SEDANG
2/15/2013,DKI5 (Kebon Jeruk),49,4,19,48,8,49,PM10,BAIK
2/16/2013,DKI5 (Kebon Jeruk),32,3,7,40,5,40,O3,BAIK
2/17/2013,DKI5 (Kebon Jeruk),14,2,7,34,4,34,O3,BAIK
2/18/2013,DKI5 (Kebon Jeruk),14,3,11,34,5,34,O3,BAIK
2/19/2013,DKI5 (Kebon Jeruk),4,4,11,30,7,30,O3,BAIK
2/20/2013,DKI5 (Kebon Jeruk),6,4,23,27,8,27,O3,BAIK
2/21/2013,DKI5 (Kebon Jeruk),9,3,30,31,14,31,O3,BAIK
2/22/2013,DKI5 (Kebon Jeruk),2,3,18,37,8,37,O3,BAIK
2/23/2013,DKI5 (Kebon Jeruk),3,3,10,41,7,41,O3,BAIK
2/24/2013,DKI5 (Kebon Jeruk),12,2,29,45,13,45,O3,BAIK
